date,total_cases,new_cases,total_deaths,new_deaths,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,total_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations
2022-01-01,10237147.0,219126.0,123915.0,110.0,3560.0,18811.0,2017.0,11151.0,196014.0,196254705.0,0.169,5.9,123997663.0,53084498.0,49553206.0,12724.0
2022-01-02,10295579.0,58432.0,124006.0,91.0,3572.0,19043.0,2025.0,11297.0,375056.0,196629761.0,0.172,5.8,124073736.0,53089072.0,49566245.0,76073.0
2022-01-03,10363040.0,67461.0,124276.0,270.0,3654.0,19606.0,2049.0,11823.0,1926832.0,198556593.0,0.188,5.3,124686169.0,53117528.0,49654063.0,612433.0
2022-01-04,10634786.0,271746.0,124627.0,351.0,3665.0,20186.0,2092.0,12594.0,1682501.0,200239094.0,0.195,5.1,125477597.0,53155001.0,49764543.0,791428.0
2022-01-05,10967038.0,332252.0,124873.0,246.0,3695.0,20688.0,2125.0,13128.0,1711814.0,201950908.0,0.197,5.1,126191389.0,53195248.0,49867282.0,713792.0
2022-01-06,11229825.0,262787.0,125078.0,205.0,3759.0,21169.0,2236.0,13607.0,1909730.0,203860638.0,0.196,5.1,126982579.0,53235265.0,49977129.0,791190.0
2022-01-07,11558039.0,328214.0,125271.0,193.0,3815.0,21605.0,2274.0,13987.0,1815491.0,205676129.0,0.2,5.0,127864048.0,53280662.0,50099649.0,881469.0
2022-01-08,11861708.0,303669.0,125413.0,142.0,3821.0,21721.0,2320.0,14370.0,1281183.0,206957312.0,0.2,5.0,128399988.0,53311906.0,50179441.0,535940.0
2022-01-09,12157805.0,296097.0,125503.0,90.0,3847.0,21982.0,2370.0,14560.0,445375.0,207402687.0,0.2,5.0,128565012.0,53321742.0,50205832.0,165024.0
2022-01-10,12251701.0,93896.0,125783.0,280.0,3904.0,22749.0,2398.0,14943.0,2221976.0,209624663.0,0.195,5.1,129153130.0,53353090.0,50291733.0,588118.0
2022-01-11,12620080.0,368379.0,126124.0,341.0,3969.0,23371.0,2430.0,15211.0,1634276.0,211258939.0,0.194,5.2,129840686.0,53390926.0,50391147.0,687556.0
2022-01-12,12981799.0,361719.0,126370.0,246.0,3985.0,23889.0,2415.0,15534.0,1504706.0,212763645.0,0.202,5.0,130424495.0,53428249.0,50483294.0,583809.0
2022-01-13,13290020.0,308221.0,126596.0,226.0,3939.0,24154.0,2339.0,15646.0,1412064.0,214175709.0,0.214,4.7,131038800.0,53461967.0,50574726.0,614305.0
